/home/zl22853/code/GeoBS/baselines/main.py:149: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  lats, lons = np.radians(loc_tr[:,1]), np.radians(loc_tr[:,0])
GPU Name: NVIDIA RTX A6000
Loading nabirds_with_loc_2019.json - train
   using meta data: ebird_meta
	 22819 total entries
	 22819 entries with images
	 22599 entries with meta data
Loading nabirds_with_loc_2019.json - test
   using meta data: ebird_meta
	 24633 total entries
	 24633 entries with images
	 24411 entries with meta data
Check the radian of input data! tensor([-117,   33])
[epoch 29, batch    90] loss: 0.020
[epoch 29, batch   120] loss: 0.021
[epoch 29, batch   150] loss: 0.012
[epoch 29, batch   180] loss: 0.021
[epoch 29, batch   210] loss: 0.008
[epoch 29, batch   240] loss: 0.019
[epoch 29, batch   270] loss: 0.015
[epoch 29, batch   300] loss: 0.043
[epoch 29, batch   330] loss: 0.029
[epoch 29, batch   360] loss: 0.021
[epoch 29, batch   390] loss: 0.018
[epoch 29, batch   420] loss: 0.011
[epoch 29, batch   450] loss: 0.024
[epoch 29, batch   480] loss: 0.021
[epoch 29, batch   510] loss: 0.035
[epoch 29, batch   540] loss: 0.025
[epoch 29, batch   570] loss: 0.022
[epoch 29, batch   600] loss: 0.012
[epoch 29, batch   630] loss: 0.009
[epoch 29, batch   660] loss: 0.024
[epoch 29, batch   690] loss: 0.026
epoch 29 mean loss: 0.0214
[epoch 30, batch    30] loss: 0.006
[epoch 30, batch    60] loss: 0.003
[epoch 30, batch    90] loss: 0.019
[epoch 30, batch   120] loss: 0.009
[epoch 30, batch   150] loss: 0.034
[epoch 30, batch   180] loss: 0.042
[epoch 30, batch   210] loss: 0.019
[epoch 30, batch   240] loss: 0.008
[epoch 30, batch   270] loss: 0.011
[epoch 30, batch   300] loss: 0.012
[epoch 30, batch   330] loss: 0.022
[epoch 30, batch   360] loss: 0.009
[epoch 30, batch   390] loss: 0.028
[epoch 30, batch   420] loss: 0.029
[epoch 30, batch   450] loss: 0.016
[epoch 30, batch   480] loss: 0.006
[epoch 30, batch   510] loss: 0.008
[epoch 30, batch   540] loss: 0.012
[epoch 30, batch   570] loss: 0.013
[epoch 30, batch   600] loss: 0.042
[epoch 30, batch   630] loss: 0.026
[epoch 30, batch   660] loss: 0.024
[epoch 30, batch   690] loss: 0.009
epoch 30 mean loss: 0.0184
[epoch 31, batch    30] loss: 0.028
[epoch 31, batch    60] loss: 0.023
[epoch 31, batch    90] loss: 0.011
[epoch 31, batch   120] loss: 0.018
[epoch 31, batch   150] loss: 0.005
[epoch 31, batch   180] loss: 0.008
[epoch 31, batch   210] loss: 0.016
[epoch 31, batch   240] loss: 0.044
[epoch 31, batch   270] loss: 0.028
[epoch 31, batch   300] loss: 0.018
[epoch 31, batch   330] loss: 0.011
[epoch 31, batch   360] loss: 0.042
[epoch 31, batch   390] loss: 0.004
[epoch 31, batch   420] loss: 0.015
[epoch 31, batch   450] loss: 0.011
[epoch 31, batch   480] loss: 0.035
[epoch 31, batch   510] loss: 0.028
[epoch 31, batch   540] loss: 0.019
[epoch 31, batch   570] loss: 0.032
[epoch 31, batch   600] loss: 0.013
[epoch 31, batch   630] loss: 0.006
[epoch 31, batch   660] loss: 0.018
[epoch 31, batch   690] loss: 0.012
epoch 31 mean loss: 0.0195
[epoch 32, batch    30] loss: 0.007
[epoch 32, batch    60] loss: 0.007
[epoch 32, batch    90] loss: 0.026
[epoch 32, batch   120] loss: 0.013
[epoch 32, batch   150] loss: 0.022
[epoch 32, batch   180] loss: 0.013
[epoch 32, batch   210] loss: 0.015
[epoch 32, batch   240] loss: 0.015
[epoch 32, batch   270] loss: 0.016
[epoch 32, batch   300] loss: 0.022
[epoch 32, batch   330] loss: 0.030
[epoch 32, batch   360] loss: 0.023
[epoch 32, batch   390] loss: 0.024
[epoch 32, batch   420] loss: 0.012
[epoch 32, batch   450] loss: 0.008
[epoch 32, batch   480] loss: 0.006
[epoch 32, batch   510] loss: 0.026
[epoch 32, batch   540] loss: 0.031
[epoch 32, batch   570] loss: 0.005
[epoch 32, batch   600] loss: 0.005
[epoch 32, batch   630] loss: 0.017
[epoch 32, batch   660] loss: 0.025
[epoch 32, batch   690] loss: 0.021
epoch 32 mean loss: 0.0167
[epoch 33, batch    30] loss: 0.033
[epoch 33, batch    60] loss: 0.013
[epoch 33, batch    90] loss: 0.005
[epoch 33, batch   120] loss: 0.020
[epoch 33, batch   150] loss: 0.014
[epoch 33, batch   180] loss: 0.040
[epoch 33, batch   210] loss: 0.036
[epoch 33, batch   240] loss: 0.025
[epoch 33, batch   270] loss: 0.008
[epoch 33, batch   300] loss: 0.011
[epoch 33, batch   330] loss: 0.018
[epoch 33, batch   360] loss: 0.026
[epoch 33, batch   390] loss: 0.024
[epoch 33, batch   420] loss: 0.022
[epoch 33, batch   450] loss: 0.012
[epoch 33, batch   480] loss: 0.015
[epoch 33, batch   510] loss: 0.022
[epoch 33, batch   540] loss: 0.007
[epoch 33, batch   570] loss: 0.023
[epoch 33, batch   600] loss: 0.024
[epoch 33, batch   630] loss: 0.018
[epoch 33, batch   660] loss: 0.013
[epoch 33, batch   690] loss: 0.030
epoch 33 mean loss: 0.0199
[epoch 34, batch    30] loss: 0.033
[epoch 34, batch    60] loss: 0.002
[epoch 34, batch    90] loss: 0.017
[epoch 34, batch   120] loss: 0.014
[epoch 34, batch   150] loss: 0.059
[epoch 34, batch   180] loss: 0.015
[epoch 34, batch   210] loss: 0.030
[epoch 34, batch   240] loss: 0.022
[epoch 34, batch   270] loss: 0.020
[epoch 34, batch   300] loss: 0.018
[epoch 34, batch   330] loss: 0.019
[epoch 34, batch   360] loss: 0.056
[epoch 34, batch   390] loss: 0.036
[epoch 34, batch   420] loss: 0.014
[epoch 34, batch   450] loss: 0.007
[epoch 34, batch   480] loss: 0.007
[epoch 34, batch   510] loss: 0.036
[epoch 34, batch   540] loss: 0.005
[epoch 34, batch   570] loss: 0.020
[epoch 34, batch   600] loss: 0.027
[epoch 34, batch   630] loss: 0.019
[epoch 34, batch   660] loss: 0.023
[epoch 34, batch   690] loss: 0.036
epoch 34 mean loss: 0.0229
[epoch 35, batch    30] loss: 0.011
[epoch 35, batch    60] loss: 0.029
[epoch 35, batch    90] loss: 0.005
[epoch 35, batch   120] loss: 0.015
[epoch 35, batch   150] loss: 0.016
[epoch 35, batch   180] loss: 0.002
[epoch 35, batch   210] loss: 0.020
[epoch 35, batch   240] loss: 0.037
[epoch 35, batch   270] loss: 0.007
[epoch 35, batch   300] loss: 0.013
[epoch 35, batch   330] loss: 0.005
[epoch 35, batch   360] loss: 0.013
[epoch 35, batch   390] loss: 0.010
[epoch 35, batch   420] loss: 0.028
[epoch 35, batch   450] loss: 0.038
[epoch 35, batch   480] loss: 0.048
[epoch 35, batch   510] loss: 0.006
[epoch 35, batch   540] loss: 0.008
[epoch 35, batch   570] loss: 0.020
[epoch 35, batch   600] loss: 0.016
[epoch 35, batch   630] loss: 0.031
[epoch 35, batch   660] loss: 0.003
[epoch 35, batch   690] loss: 0.030
epoch 35 mean loss: 0.0183
[epoch 36, batch    30] loss: 0.019
[epoch 36, batch    60] loss: 0.025
[epoch 36, batch    90] loss: 0.003
[epoch 36, batch   120] loss: 0.044
[epoch 36, batch   150] loss: 0.011
[epoch 36, batch   180] loss: 0.017
[epoch 36, batch   210] loss: 0.008
[epoch 36, batch   240] loss: 0.015
[epoch 36, batch   270] loss: 0.036
[epoch 36, batch   300] loss: 0.006
[epoch 36, batch   330] loss: 0.023
[epoch 36, batch   360] loss: 0.007
[epoch 36, batch   390] loss: 0.006
[epoch 36, batch   420] loss: 0.020
[epoch 36, batch   450] loss: 0.006
[epoch 36, batch   480] loss: 0.006
[epoch 36, batch   510] loss: 0.005
[epoch 36, batch   540] loss: 0.031
[epoch 36, batch   570] loss: 0.007
[epoch 36, batch   600] loss: 0.008
[epoch 36, batch   630] loss: 0.036
[epoch 36, batch   660] loss: 0.004
[epoch 36, batch   690] loss: 0.000
epoch 36 mean loss: 0.0145
[epoch 37, batch    30] loss: 0.013
[epoch 37, batch    60] loss: 0.033
[epoch 37, batch    90] loss: 0.025
[epoch 37, batch   120] loss: 0.015
[epoch 37, batch   150] loss: 0.015
[epoch 37, batch   180] loss: 0.037
[epoch 37, batch   210] loss: 0.001
[epoch 37, batch   240] loss: 0.013
[epoch 37, batch   270] loss: 0.007
[epoch 37, batch   300] loss: 0.008
[epoch 37, batch   330] loss: 0.009
[epoch 37, batch   360] loss: 0.013
[epoch 37, batch   390] loss: 0.002
[epoch 37, batch   420] loss: 0.002
[epoch 37, batch   450] loss: 0.014
[epoch 37, batch   480] loss: 0.005
[epoch 37, batch   510] loss: 0.016
[epoch 37, batch   540] loss: 0.010
[epoch 37, batch   570] loss: 0.002
[epoch 37, batch   600] loss: 0.008
[epoch 37, batch   630] loss: 0.001
[epoch 37, batch   660] loss: 0.016
[epoch 37, batch   690] loss: 0.013
epoch 37 mean loss: 0.0118
[epoch 38, batch    30] loss: 0.003
[epoch 38, batch    60] loss: 0.016
[epoch 38, batch    90] loss: 0.026
[epoch 38, batch   120] loss: 0.020
[epoch 38, batch   150] loss: 0.021
[epoch 38, batch   180] loss: 0.019
[epoch 38, batch   210] loss: 0.003
[epoch 38, batch   240] loss: 0.013
[epoch 38, batch   270] loss: 0.003
[epoch 38, batch   300] loss: 0.026
[epoch 38, batch   330] loss: 0.001
[epoch 38, batch   360] loss: 0.002
[epoch 38, batch   390] loss: 0.002
[epoch 38, batch   420] loss: 0.004
[epoch 38, batch   450] loss: 0.010
[epoch 38, batch   480] loss: 0.003
[epoch 38, batch   510] loss: 0.009
[epoch 38, batch   540] loss: 0.004
[epoch 38, batch   570] loss: 0.003
[epoch 38, batch   600] loss: 0.007
[epoch 38, batch   630] loss: 0.007
[epoch 38, batch   660] loss: 0.000
[epoch 38, batch   690] loss: 0.015
epoch 38 mean loss: 0.0093
[epoch 39, batch    30] loss: 0.009
[epoch 39, batch    60] loss: 0.003
[epoch 39, batch    90] loss: 0.007
[epoch 39, batch   120] loss: 0.003
[epoch 39, batch   150] loss: 0.005
[epoch 39, batch   180] loss: 0.012
[epoch 39, batch   210] loss: 0.009
[epoch 39, batch   240] loss: 0.007
[epoch 39, batch   270] loss: 0.009
[epoch 39, batch   300] loss: 0.005
[epoch 39, batch   330] loss: 0.006
[epoch 39, batch   360] loss: 0.003
[epoch 39, batch   390] loss: 0.014
[epoch 39, batch   420] loss: 0.006
[epoch 39, batch   450] loss: 0.016
[epoch 39, batch   480] loss: 0.003
[epoch 39, batch   510] loss: 0.016
[epoch 39, batch   540] loss: 0.006
[epoch 39, batch   570] loss: 0.009
[epoch 39, batch   600] loss: 0.006
[epoch 39, batch   630] loss: 0.003
[epoch 39, batch   660] loss: 0.003
[epoch 39, batch   690] loss: 0.004
epoch 39 mean loss: 0.0071
[epoch 40, batch    30] loss: 0.003
[epoch 40, batch    60] loss: 0.012
[epoch 40, batch    90] loss: 0.006
[epoch 40, batch   120] loss: 0.002
[epoch 40, batch   150] loss: 0.004
[epoch 40, batch   180] loss: 0.001
[epoch 40, batch   210] loss: 0.016
[epoch 40, batch   240] loss: 0.004
[epoch 40, batch   270] loss: 0.000
[epoch 40, batch   300] loss: 0.032
[epoch 40, batch   330] loss: 0.025
[epoch 40, batch   360] loss: 0.013
[epoch 40, batch   390] loss: 0.009
[epoch 40, batch   420] loss: 0.009
[epoch 40, batch   450] loss: 0.001
[epoch 40, batch   480] loss: 0.020
[epoch 40, batch   510] loss: 0.001
[epoch 40, batch   540] loss: 0.002
[epoch 40, batch   570] loss: 0.012
[epoch 40, batch   600] loss: 0.011
[epoch 40, batch   630] loss: 0.036
[epoch 40, batch   660] loss: 0.004
[epoch 40, batch   690] loss: 0.014
epoch 40 mean loss: 0.0104
[epoch 41, batch    30] loss: 0.083
[epoch 41, batch    60] loss: 0.010
[epoch 41, batch    90] loss: 0.001
[epoch 41, batch   120] loss: 0.003
[epoch 41, batch   150] loss: 0.003
[epoch 41, batch   180] loss: 0.007
[epoch 41, batch   210] loss: 0.011
[epoch 41, batch   240] loss: 0.000
[epoch 41, batch   270] loss: 0.003
[epoch 41, batch   300] loss: 0.010
[epoch 41, batch   330] loss: 0.024
[epoch 41, batch   360] loss: 0.017
[epoch 41, batch   390] loss: 0.003
[epoch 41, batch   420] loss: 0.004
[epoch 41, batch   450] loss: 0.005
[epoch 41, batch   480] loss: 0.022
[epoch 41, batch   510] loss: 0.015
[epoch 41, batch   540] loss: 0.023
[epoch 41, batch   570] loss: 0.018
[epoch 41, batch   600] loss: 0.019
[epoch 41, batch   630] loss: 0.003
[epoch 41, batch   660] loss: 0.012
[epoch 41, batch   690] loss: 0.034
epoch 41 mean loss: 0.0144
[epoch 42, batch    30] loss: 0.004
[epoch 42, batch    60] loss: 0.013
[epoch 42, batch    90] loss: 0.011
[epoch 42, batch   120] loss: 0.003
[epoch 42, batch   150] loss: 0.000
[epoch 42, batch   180] loss: 0.013
[epoch 42, batch   210] loss: 0.008
[epoch 42, batch   240] loss: 0.015
[epoch 42, batch   270] loss: 0.008
[epoch 42, batch   300] loss: 0.020
[epoch 42, batch   330] loss: 0.001
[epoch 42, batch   360] loss: 0.003
[epoch 42, batch   390] loss: 0.003
[epoch 42, batch   420] loss: 0.008
[epoch 42, batch   450] loss: 0.002
[epoch 42, batch   480] loss: 0.027
[epoch 42, batch   510] loss: 0.004
[epoch 42, batch   540] loss: 0.005
[epoch 42, batch   570] loss: 0.010
[epoch 42, batch   600] loss: 0.012
[epoch 42, batch   630] loss: 0.011
[epoch 42, batch   660] loss: 0.009
[epoch 42, batch   690] loss: 0.006
epoch 42 mean loss: 0.0087
[epoch 43, batch    30] loss: 0.009
[epoch 43, batch    60] loss: 0.051
[epoch 43, batch    90] loss: 0.003
[epoch 43, batch   120] loss: 0.007
[epoch 43, batch   150] loss: 0.013
[epoch 43, batch   180] loss: 0.014
[epoch 43, batch   210] loss: 0.006
[epoch 43, batch   240] loss: 0.005
[epoch 43, batch   270] loss: 0.000
[epoch 43, batch   300] loss: 0.001
[epoch 43, batch   330] loss: 0.000
[epoch 43, batch   360] loss: 0.008
[epoch 43, batch   390] loss: 0.004
[epoch 43, batch   420] loss: 0.004
[epoch 43, batch   450] loss: 0.001
[epoch 43, batch   480] loss: 0.009
[epoch 43, batch   510] loss: 0.002
[epoch 43, batch   540] loss: 0.001
[epoch 43, batch   570] loss: 0.001
[epoch 43, batch   600] loss: 0.001
[epoch 43, batch   630] loss: 0.001
[epoch 43, batch   660] loss: 0.013
[epoch 43, batch   690] loss: 0.016
epoch 43 mean loss: 0.0073
[epoch 44, batch    30] loss: 0.006
[epoch 44, batch    60] loss: 0.000
[epoch 44, batch    90] loss: 0.000
[epoch 44, batch   120] loss: 0.003
[epoch 44, batch   150] loss: 0.007
[epoch 44, batch   180] loss: 0.007
[epoch 44, batch   210] loss: 0.007
[epoch 44, batch   240] loss: 0.002
[epoch 44, batch   270] loss: 0.000
[epoch 44, batch   300] loss: 0.000
[epoch 44, batch   330] loss: 0.018
[epoch 44, batch   360] loss: 0.001
[epoch 44, batch   390] loss: 0.000
[epoch 44, batch   420] loss: 0.008
[epoch 44, batch   450] loss: 0.003
[epoch 44, batch   480] loss: 0.012
[epoch 44, batch   510] loss: 0.001
[epoch 44, batch   540] loss: 0.006
[epoch 44, batch   570] loss: 0.008
[epoch 44, batch   600] loss: 0.002
[epoch 44, batch   630] loss: 0.004
[epoch 44, batch   660] loss: 0.012
[epoch 44, batch   690] loss: 0.000
epoch 44 mean loss: 0.0047
[epoch 45, batch    30] loss: 0.013
[epoch 45, batch    60] loss: 0.001
[epoch 45, batch    90] loss: 0.008
[epoch 45, batch   120] loss: 0.003
[epoch 45, batch   150] loss: 0.007
[epoch 45, batch   180] loss: 0.003
[epoch 45, batch   210] loss: 0.024
[epoch 45, batch   240] loss: 0.034
[epoch 45, batch   270] loss: 0.001
[epoch 45, batch   300] loss: 0.003
[epoch 45, batch   330] loss: 0.004
[epoch 45, batch   360] loss: 0.000
[epoch 45, batch   390] loss: 0.001
[epoch 45, batch   420] loss: 0.001
[epoch 45, batch   450] loss: 0.001
[epoch 45, batch   480] loss: 0.002
[epoch 45, batch   510] loss: 0.010
[epoch 45, batch   540] loss: 0.001
[epoch 45, batch   570] loss: 0.012
[epoch 45, batch   600] loss: 0.000
[epoch 45, batch   630] loss: 0.002
[epoch 45, batch   660] loss: 0.002
[epoch 45, batch   690] loss: 0.007
epoch 45 mean loss: 0.0060
[epoch 46, batch    30] loss: 0.004
[epoch 46, batch    60] loss: 0.000
[epoch 46, batch    90] loss: 0.001
[epoch 46, batch   120] loss: 0.001
[epoch 46, batch   150] loss: 0.001
[epoch 46, batch   180] loss: 0.000
[epoch 46, batch   210] loss: 0.024
[epoch 46, batch   240] loss: 0.003
[epoch 46, batch   270] loss: 0.004
[epoch 46, batch   300] loss: 0.002
[epoch 46, batch   330] loss: 0.010
[epoch 46, batch   360] loss: 0.000
[epoch 46, batch   390] loss: 0.005
[epoch 46, batch   420] loss: 0.008
[epoch 46, batch   450] loss: 0.018
[epoch 46, batch   480] loss: 0.004
[epoch 46, batch   510] loss: 0.001
[epoch 46, batch   540] loss: 0.006
[epoch 46, batch   570] loss: 0.001
[epoch 46, batch   600] loss: 0.006
[epoch 46, batch   630] loss: 0.018
[epoch 46, batch   660] loss: 0.007
[epoch 46, batch   690] loss: 0.003
epoch 46 mean loss: 0.0055
[epoch 47, batch    30] loss: 0.001
[epoch 47, batch    60] loss: 0.007
[epoch 47, batch    90] loss: 0.004
[epoch 47, batch   120] loss: 0.008
[epoch 47, batch   150] loss: 0.036
[epoch 47, batch   180] loss: 0.001
[epoch 47, batch   210] loss: 0.005
[epoch 47, batch   240] loss: 0.000
[epoch 47, batch   270] loss: 0.002
[epoch 47, batch   300] loss: 0.001
[epoch 47, batch   330] loss: 0.009
[epoch 47, batch   360] loss: 0.006
[epoch 47, batch   390] loss: 0.008
[epoch 47, batch   420] loss: 0.007
[epoch 47, batch   450] loss: 0.004
[epoch 47, batch   480] loss: 0.005
[epoch 47, batch   510] loss: 0.010
[epoch 47, batch   540] loss: 0.002
[epoch 47, batch   570] loss: 0.001
[epoch 47, batch   600] loss: 0.000
[epoch 47, batch   630] loss: 0.002
[epoch 47, batch   660] loss: 0.020
[epoch 47, batch   690] loss: 0.004
epoch 47 mean loss: 0.0062
[epoch 48, batch    30] loss: 0.012
[epoch 48, batch    60] loss: 0.002
[epoch 48, batch    90] loss: 0.003
[epoch 48, batch   120] loss: 0.003
[epoch 48, batch   150] loss: 0.001
[epoch 48, batch   180] loss: 0.012
[epoch 48, batch   210] loss: 0.006
[epoch 48, batch   240] loss: 0.012
[epoch 48, batch   270] loss: 0.006
[epoch 48, batch   300] loss: 0.004
[epoch 48, batch   330] loss: 0.002
[epoch 48, batch   360] loss: 0.002
[epoch 48, batch   390] loss: 0.000
[epoch 48, batch   420] loss: 0.005
[epoch 48, batch   450] loss: 0.002
[epoch 48, batch   480] loss: 0.000
[epoch 48, batch   510] loss: 0.002
[epoch 48, batch   540] loss: 0.005
[epoch 48, batch   570] loss: 0.003
[epoch 48, batch   600] loss: 0.000
[epoch 48, batch   630] loss: 0.001
[epoch 48, batch   660] loss: 0.001
[epoch 48, batch   690] loss: 0.001
epoch 48 mean loss: 0.0037
[epoch 49, batch    30] loss: 0.005
[epoch 49, batch    60] loss: 0.000
[epoch 49, batch    90] loss: 0.009
[epoch 49, batch   120] loss: 0.004
[epoch 49, batch   150] loss: 0.000
[epoch 49, batch   180] loss: 0.019
[epoch 49, batch   210] loss: 0.003
[epoch 49, batch   240] loss: 0.001
[epoch 49, batch   270] loss: 0.000
[epoch 49, batch   300] loss: 0.006
[epoch 49, batch   330] loss: 0.017
[epoch 49, batch   360] loss: 0.008
[epoch 49, batch   390] loss: 0.005
[epoch 49, batch   420] loss: 0.020
[epoch 49, batch   450] loss: 0.008
[epoch 49, batch   480] loss: 0.000
[epoch 49, batch   510] loss: 0.002
[epoch 49, batch   540] loss: 0.000
[epoch 49, batch   570] loss: 0.002
[epoch 49, batch   600] loss: 0.001
[epoch 49, batch   630] loss: 0.001
[epoch 49, batch   660] loss: 0.002
[epoch 49, batch   690] loss: 0.003
epoch 49 mean loss: 0.0049
[epoch 50, batch    30] loss: 0.000
[epoch 50, batch    60] loss: 0.002
[epoch 50, batch    90] loss: 0.000
[epoch 50, batch   120] loss: 0.007
[epoch 50, batch   150] loss: 0.007
[epoch 50, batch   180] loss: 0.000
[epoch 50, batch   210] loss: 0.007
[epoch 50, batch   240] loss: 0.005
[epoch 50, batch   270] loss: 0.004
[epoch 50, batch   300] loss: 0.001
[epoch 50, batch   330] loss: 0.005
[epoch 50, batch   360] loss: 0.005
[epoch 50, batch   390] loss: 0.000
[epoch 50, batch   420] loss: 0.012
[epoch 50, batch   450] loss: 0.000
[epoch 50, batch   480] loss: 0.002
[epoch 50, batch   510] loss: 0.000
[epoch 50, batch   540] loss: 0.001
[epoch 50, batch   570] loss: 0.000
[epoch 50, batch   600] loss: 0.001
[epoch 50, batch   630] loss: 0.004
[epoch 50, batch   660] loss: 0.001
[epoch 50, batch   690] loss: 0.014
epoch 50 mean loss: 0.0034
Training Completed.
Debiasing for 10 epochs.
[epoch 1, batch    30] loss: 0.000
Traceback (most recent call last):
  File "/home/zl22853/code/GeoBS/baselines/main.py", line 319, in <module>
    main()
  File "/home/zl22853/code/GeoBS/baselines/main.py", line 171, in main
    train_debias(task = task,
  File "/home/zl22853/code/GeoBS/baselines/TorchSpatial/modules/trainer.py", line 138, in train_debias
    gbs_loss = torch.mean(torch.stack(gbs_losses))
RuntimeError: stack expects a non-empty TensorList
